exit,horizon,instance,order,search,solved,total,trivial,valid,gc_bfs_retries,gc_chain_labels,gc_chain_time,gc_chains,gc_distinct,gc_exact_sccs,gc_goal_factors,gc_heuristic_sccs,gc_largest_scc,gc_leftover,gc_mean_product_factors,gc_pairs_weight,gc_proven,gc_sccs,gc_too_big_alone,gc_total_time,gc_unsolved_abstractions,gc_violated
0,2,elevators-sat11-strips/p16,linear,0.595849,True,26.7405,False,True,,,,,,,,,,,,,,,,,,
0,3,elevators-sat11-strips/p16,relaxed,8.80539,True,36.5492,False,True,,,,,,,,,,,,,,,,,,
0,1,elevators-sat11-strips/p17,goal_chains,2.54004,True,41.4402,False,True,0,176,2.3853,45,176,0,45,0,1,544,9,131,0,176,0,2.40321,0,0
0,2,elevators-sat11-strips/p17,linear,0.629439,True,38.8194,False,True,,,,,,,,,,,,,,,,,,
0,4,elevators-sat11-strips/p17,relaxed,33.9038,True,73.7125,False,True,,,,,,,,,,,,,,,,,,
0,1,elevators-sat11-strips/p18,goal_chains,3.59749,True,52.6737,False,True,0,194,3.42547,50,194,0,50,0,1,606,9,144,0,194,0,3.44608,0,0
0,2,elevators-sat11-strips/p18,linear,0.624004,True,47.8521,False,True,,,,,,,,,,,,,,,,,,
0,4,elevators-sat11-strips/p18,relaxed,46.5577,True,95.6191,False,True,,,,,,,,,,,,,,,,,,
0,1,elevators-sat11-strips/p19,goal_chains,3.51383,True,67.2157,False,True,0,214,3.31696,55,214,0,55,0,1,666,9,159,0,214,0,3.34424,0,0
0,2,elevators-sat11-strips/p19,linear,0.592244,True,58.4483,False,True,,,,,,,,,,,,,,,,,,
23,,elevators-sat11-strips/p19,relaxed,,False,,False,,,,,,,,,,,,,,,,,,,
0,1,elevators-sat11-strips/p20,goal_chains,3.70222,True,87.7831,False,True,0,216,3.47681,60,216,0,60,0,1,744,9,156,0,216,0,3.50762,0,0
0,2,elevators-sat11-strips/p20,linear,6.39487,True,85.2734,False,True,,,,,,,,,,,,,,,,,,
23,,elevators-sat11-strips/p20,relaxed,,False,,False,,,,,,,,,,,,,,,,,,,
0,1,ferry/p-10locs-5cars,goal_chains,0.00422891,True,0.0100821,False,True,0,10,4.219e-05,5,10,0,5,0,1,0,2,5,0,10,0,7.4623e-05,0,0
0,1,ferry/p-10locs-5cars,linear,0.00410167,True,0.00870363,False,True,,,,,,,,,,,,,,,,,,
0,5,ferry/p-10locs-5cars,relaxed,0.0101568,True,0.0163517,False,True,,,,,,,,,,,,,,,,,,
0,1,ferry/p-10locs-7cars,goal_chains,0.00435777,True,0.0113503,False,True,0,10,5.7733e-05,5,10,0,7,0,1,4,2.8,5,0,10,0,9.0887e-05,0,0
0,1,ferry/p-10locs-7cars,linear,0.00443252,True,0.0117023,False,True,,,,,,,,,,,,,,,,,,
0,5,ferry/p-10locs-7cars,relaxed,0.00987745,True,0.0162156,False,True,,,,,,,,,,,,,,,,,,
0,4,floortile-sat11-strips/seq-p02-004,goal_chains,2.8464,True,2.87915,False,True,0,139,0.164468,15,62,1,15,0,51,82,6.13333,124,1,12,0,0.474771,0,7
0,8,floortile-sat11-strips/seq-p02-004,linear,13.342,True,13.3793,False,True,,,,,,,,,,,,,,,,,,
0,12,floortile-sat11-strips/seq-p02-004,relaxed,72.6017,True,72.6406,False,True,,,,,,,,,,,,,,,,,,
0,3,floortile-sat14-strips/p02-5-4-2,goal_chains,3.45696,True,3.53376,False,True,6,190,0.608129,20,91,2,20,0,81,109,6.2,170,2,8,0,1.0626,0,9
0,10,floortile-sat14-strips/p02-5-4-2,linear,109.557,True,109.641,False,True,,,,,,,,,,,,,,,,,,
23,,floortile-sat14-strips/p02-5-4-2,relaxed,,False,,False,,,,,,,,,,,,,,,,,,,
0,5,floortile-sat14-strips/p03-6-4-2,goal_chains,84.3139,True,84.4305,False,True,15,219,0.915677,24,87,1,24,0,83,149,6.125,195,0,5,0,54.8635,0,14
0,12,floortile-sat14-strips/p03-6-4-2,linear,541.648,True,541.771,False,True,,,,,,,,,,,,,,,,,,
23,,floortile-sat14-strips/p03-6-4-2,relaxed,,False,,False,,,,,,,,,,,,,,,,,,,
0,4,floortile-sat14-strips/p04-5-4-2,goal_chains,36.2949,True,36.3853,False,True,3,193,0.594618,20,90,1,20,0,80,110,6.25,173,0,11,0,30.173,0,13
0,10,floortile-sat14-strips/p04-5-4-2,linear,125.583,True,125.655,False,True,,,,,,,,,,,,,,,,,,
23,,floortile-sat14-strips/p04-5-4-2,relaxed,,False,,False,,,,,,,,,,,,,,,,,,,
23,,freecell/pfile17,goal_chains,,False,,False,,17,22,14.4087,4,13,0,4,0,1,886,7.5,18,0,13,0,14.4491,0,0
23,,freecell/pfile17,linear,,False,,False,,,,,,,,,,,,,,,,,,,
23,,freecell/pfile17,relaxed,,False,,False,,,,,,,,,,,,,,,,,,,
0,2,freecell/probfreecell-4-1,goal_chains,4.66898,True,5.23308,False,True,4,14,0.622652,4,11,0,4,0,1,235,10.25,10,0,11,0,0.624163,0,0
0,3,freecell/probfreecell-4-1,linear,7.83248,True,8.38531,False,True,,,,,,,,,,,,,,,,,,
0,1,freecell/probfreecell-4-1,relaxed,0.997462,True,1.54801,False,True,,,,,,,,,,,,,,,,,,
0,2,freecell/probfreecell-4-3,goal_chains,3.76185,True,4.25714,False,True,4,16,0.359739,4,12,0,4,0,1,226,12.75,12,0,12,0,0.360993,0,0
0,2,freecell/probfreecell-4-3,linear,4.18608,True,4.7104,False,True,,,,,,,,,,,,,,,,,,
0,1,freecell/probfreecell-4-3,relaxed,0.959859,True,1.46701,False,True,,,,,,,,,,,,,,,,,,
0,3,freecell/probfreecell-7-2,goal_chains,37.4643,True,39.5471,False,True,13,21,3.30706,4,16,0,4,0,1,477,11.25,17,0,16,0,3.3135,0,0
