batch,exit,horizon,instance,order,search,solved,total,trivial,valid,gc_alternatives,gc_bfs_retries,gc_chain_labels,gc_chain_time,gc_chains,gc_deep_fallbacks,gc_distinct,gc_exact_sccs,gc_explored_states,gc_factors_covered,gc_factors_with_moves,gc_goal_factors,gc_heuristic_sccs,gc_largest_scc,gc_leftover,gc_mean_product_factors,gc_pair_chains,gc_pairs_weight,gc_proven,gc_sccs,gc_selection_rounds,gc_skipped_budget,gc_subgoal_chains,gc_switches,gc_too_big_alone,gc_total_time,gc_unsolved_abstractions,gc_violated,gc_work
full2,0,5,pathways-noneg/p14,gc3,45.121,True,47.3884,False,True,28,15,150,0.760125,28,0,78,1,250391,92,190,18,0,8,250,12.3929,10,122,1,71,0,21,0,0,0,0.793228,0,2,5222060
full2,23,,pathways-noneg/p14,gc3_w20M,,False,,False,,49,52,302,2.75384,49,0,105,2,818677,92,190,18,0,31,223,15.102,31,253,2,67,0,0,0,0,0,2.7931,0,7,16680823
full2,0,5,pathways-noneg/p25,gc3,3.08803,True,47.2394,False,True,68,10,386,0.821798,68,0,149,5,247338,171,324,33,0,24,509,12.7059,35,318,5,116,0,18,0,0,0,0.986903,0,10,5450202
full2,0,5,pathways-noneg/p25,gc3_w20M,3.58067,True,46.1915,False,True,86,20,521,1.30641,86,0,164,3,441248,171,324,33,0,54,494,13.4535,53,435,3,101,0,0,0,0,0,1.65164,0,17,8702684
full2,0,5,pathways-noneg/p26,gc3,2.9666,True,41.9936,False,True,44,15,206,0.741297,44,0,115,1,262769,176,336,34,0,10,570,11.2045,10,162,1,106,0,47,0,0,0,0.901251,0,1,5071913
full2,0,6,pathways-noneg/p26,gc3_w20M,7.01615,True,42.7711,False,True,91,30,562,1.98466,91,0,159,2,635557,176,336,34,0,60,526,14.1758,57,471,2,98,0,0,0,0,0,3.25657,0,22,14838623
full2,0,6,pathways-noneg/p28,gc3,4.34015,True,51.743,False,True,42,16,175,0.960516,42,0,120,0,291062,187,340,37,0,1,571,10.2857,5,133,0,120,0,59,0,0,0,1.1428,0,0,5666600
full2,0,5,pathways-noneg/p28,gc3_w20M,4.75212,True,48.7309,False,True,68,51,364,2.89217,68,0,150,2,932401,187,340,37,0,14,541,13.2647,31,296,2,135,0,33,0,0,0,3.0916,0,3,20083789
full2,0,7,pathways-noneg/p29,gc3,25.5734,True,51.4332,False,True,43,15,186,0.871462,43,0,112,1,156496,184,306,39,0,3,485,9.16279,4,143,1,110,0,64,0,0,0,0.975187,0,2,5434561
full2,0,7,pathways-noneg/p29,gc3_w20M,380.074,True,406.138,False,True,75,40,440,3.49832,75,0,156,4,646215,184,306,39,0,32,441,12.7067,36,365,4,116,0,32,0,0,0,3.61185,0,16,22544749
full2,0,5,pathways/p26,gc3,3.13943,True,19.5142,False,True,44,15,206,0.745419,44,0,115,1,262769,176,338,34,0,10,572,11.2045,10,162,1,106,0,47,0,0,0,0.930718,0,1,5071913
full2,0,6,pathways/p26,gc3_w20M,8.82808,True,23.816,False,True,91,30,562,2.11947,91,0,159,2,635557,176,338,34,0,60,528,14.1758,57,471,2,98,0,0,0,0,0,3.58315,0,22,14838623
full2,0,3,pegsol-08-strips/p22,gc3,0.783235,True,0.814159,False,True,33,24,171,0.707842,33,3,45,1,356441,33,34,33,0,35,32,11.6061,0,138,1,11,0,63,0,0,0,0.742318,0,14,5690892
full2,0,3,pegsol-08-strips/p22,gc3_w20M,2.80053,True,2.83089,False,True,35,82,235,2.58448,35,0,55,1,1318275,33,34,33,0,44,22,15.0286,2,200,1,12,0,58,0,0,0,2.77987,0,21,20311217
full2,0,2,pipesworld-notankage/p06-net1-b10-g6,gc3,3.75181,True,3.88832,False,True,6,30,25,1.96439,6,3,18,0,281343,70,70,6,0,1,350,36.6667,0,19,0,18,0,12,0,0,0,1.96929,0,0,12610136
full2,0,2,pipesworld-notankage/p06-net1-b10-g6,gc3_w20M,5.07866,True,5.22883,False,True,7,45,31,3.70834,7,0,21,0,462250,70,70,6,0,1,347,36.2857,1,24,0,21,0,8,0,0,0,3.7137,0,0,25459869
full2,0,4,pipesworld-notankage/p11-net2-b10-g2,gc3,29.7958,True,31.6679,False,True,2,16,10,1.54369,2,0,10,0,168951,93,172,2,0,1,790,49,0,8,0,10,0,1,0,0,0,1.60777,0,0,9573432
full2,0,4,pipesworld-notankage/p11-net2-b10-g2,gc3_w20M,32.174,True,33.9543,False,True,3,24,18,2.71584,3,0,15,2,276667,93,172,2,0,2,785,37.3333,1,15,2,13,0,0,0,0,0,2.77958,0,2,23135403
full2,0,2,psr-small/p06-s10-n1-l4-f50,gc3,0.00460245,True,0.0073175,False,True,6,0,48,0.000130214,6,0,6,1,66,6,6,3,0,6,4,6,3,42,1,1,0,0,0,0,0,0.00052103,0,6,355
full2,0,2,psr-small/p06-s10-n1-l4-f50,gc3_w20M,0.00528922,True,0.00742673,False,True,6,0,48,0.000123019,6,0,6,1,66,6,6,3,0,6,4,6,3,42,1,1,0,0,0,0,0,0.000528057,0,6,355
full2,0,2,psr-small/p11-s18-n2-l2-f50,gc3,0.0114268,True,0.0152456,False,True,12,0,192,0.0013971,12,0,15,1,1452,12,12,5,0,15,9,11.5,7,180,1,1,0,0,0,0,0,0.00628479,0,12,16408
full2,0,2,psr-small/p11-s18-n2-l2-f50,gc3_w20M,0.0115968,True,0.0153502,False,True,12,0,192,0.00131157,12,0,15,1,1452,12,12,5,0,15,9,11.5,7,180,1,1,0,0,0,0,0,0.00595133,0,12,16408
full2,0,4,psr-small/p12-s21-n2-l3-f30,gc3,0.0140006,True,0.0173341,False,True,14,0,179,0.00145514,14,0,11,1,1498,11,11,6,0,11,12,10.3571,8,165,1,1,0,0,0,0,0,0.00545539,0,33,15240
full2,0,4,psr-small/p12-s21-n2-l3-f30,gc3_w20M,0.014761,True,0.0183186,False,True,14,0,179,0.00147341,14,0,11,1,1498,11,11,6,0,11,12,10.3571,8,165,1,1,0,0,0,0,0,0.0057894,0,33,15240
full2,0,4,psr-small/p16-s29-n2-l5-f30,gc3,0.02381,True,0.0312174,False,True,2,0,50,0.00700584,2,0,20,1,5360,17,17,2,0,19,35,24.5,1,48,1,2,0,0,0,0,0,0.00885922,0,6,106850
full2,0,4,psr-small/p16-s29-n2-l5-f30,gc3_w20M,0.0239808,True,0.0313199,False,True,2,0,50,0.0068864,2,0,20,1,5360,17,17,2,0,19,35,24.5,1,48,1,2,0,0,0,0,0,0.00886734,0,6,106850
full2,0,2,psr-small/p23-s38-n3-l3-f50,gc3,0.00956963,True,0.014358,False,True,20,0,186,0.00267828,20,0,9,1,2195,17,17,8,0,7,25,14.15,12,166,1,3,0,0,0,0,0,0.0040108,0,11,28275
full2,0,2,psr-small/p23-s38-n3-l3-f50,gc3_w20M,0.00975326,True,0.0140747,False,True,20,0,186,0.0025563,20,0,9,1,2195,17,17,8,0,7,25,14.15,12,166,1,3,0,0,0,0,0,0.00381129,0,11,28275
full2,0,4,psr-small/p26-s41-n3-l4-f30,gc3,0.0166691,True,0.0205311,False,True,16,0,207,0.00213218,16,0,12,1,1853,14,14,7,0,12,14,12.375,9,191,1,1,0,0,0,0,0,0.00789446,0,35,21405
full2,0,4,psr-small/p26-s41-n3-l4-f30,gc3_w20M,0.0172165,True,0.0206467,False,True,16,0,207,0.00208704,16,0,12,1,1853,14,14,7,0,12,14,12.375,9,191,1,1,0,0,0,0,0,0.00807741,0,35,21405
