instance,base_order,base_horizon,base_total,base_search,base_valid,plan_labels,distinct,fixed_breaks,first_occ_horizon,predicted_horizon,infer_optimal,infer_time,opt_horizon,opt_total,opt_search,opt_valid,iterations,horizon_chain,final_predicted,final_horizon,final_total,final_search,final_valid,infer_time_total,all_valid,note
nomystery-opt11-strips/p07,label_order_relaxed(),9,16.8207,16.7348,True,35,29,0,7,5,1,0.055,5,0.843212,0.764208,True,1,5/5,5,5,0.843212,0.764208,True,0.055,True,
nomystery-opt11-strips/p08,label_order_linear(),11,24.4871,24.384,True,37,27,0,10,8,1,0.047,8,3.85405,3.75364,True,1,8/8,8,8,3.85405,3.75364,True,0.047,True,
nomystery-opt11-strips/p08,label_order_relaxed(),11,23.926,23.8135,True,37,27,0,10,9,1,0.039,9,3.63293,3.52619,True,1,9/9,9,9,3.63293,3.52619,True,0.039,True,
nomystery-opt11-strips/p09,label_order_linear(),11,30.1398,29.9696,True,42,32,0,10,9,1,0.052,9,7.71733,7.54463,True,1,9/9,9,9,7.71733,7.54463,True,0.052,True,
nomystery-opt11-strips/p09,label_order_relaxed(),10,28.9579,28.7724,True,40,34,0,7,7,1,0.035,7,8.45303,8.28097,True,1,7/7,7,7,8.45303,8.28097,True,0.035,True,
nomystery-opt11-strips/p10,label_order_linear(),12,59.8637,59.7474,True,42,34,0,7,5,1,0.077,5,0.802104,0.698443,True,1,5/5,5,5,0.802104,0.698443,True,0.077,True,
nomystery-opt11-strips/p10,label_order_relaxed(),11,40.7436,40.6174,True,47,34,0,10,9,1,0.063,7,1.39645,1.28647,True,2,9/7>6/6,6,6,0.930038,0.806816,True,0.146,True,
nomystery-opt11-strips/p11,label_order_linear(),5,0.0205791,0.0154927,True,13,9,0,5,5,1,0.003,5,0.0748075,0.0700718,True,1,5/5,5,5,0.0748075,0.0700718,True,0.003,True,
nomystery-opt11-strips/p11,label_order_relaxed(),5,0.127146,0.122145,True,13,9,0,5,5,1,0.003,5,0.07427,0.0702894,True,1,5/5,5,5,0.07427,0.0702894,True,0.003,True,
nomystery-opt11-strips/p19,label_order_linear(),13,111.888,111.771,True,42,34,0,9,8,1,0.059,8,6.16663,6.06625,True,1,8/8,8,8,6.16663,6.06625,True,0.059,True,
nomystery-opt11-strips/p19,label_order_relaxed(),11,81.4718,81.3458,True,38,31,0,8,8,1,0.03,8,12.0955,11.9722,True,1,8/8,8,8,12.0955,11.9722,True,0.03,True,
openstacks-opt08-strips/p04,label_order_linear(),5,0.0474917,0.0413309,True,29,25,0,5,5,1,0.019,3,0.0251453,0.0215441,True,2,5/3>3/3,3,3,0.0254951,0.0182548,True,0.037,True,
openstacks-opt08-strips/p04,label_order_relaxed(),4,0.104728,0.0981836,True,28,25,0,4,4,1,0.021,3,0.0290738,0.0231356,True,2,4/3>3/3,3,3,0.0271801,0.0193985,True,0.04,True,
openstacks-opt08-strips/p11,label_order_linear(),7,15.0415,15.0183,True,51,46,0,6,6,1,0.08,4,0.723216,0.699268,True,2,6/4>4/4,4,4,0.67416,0.648015,True,0.159,True,
openstacks-opt08-strips/p11,label_order_relaxed(),6,47.0012,46.9774,True,51,46,0,6,6,1,0.076,4,1.15601,1.13139,True,2,6/4>4/4,4,4,0.978044,0.953571,True,0.156,True,
openstacks-opt08-strips/p12,label_order_linear(),7,25.3266,25.3118,True,54,49,1,6,6,1,0.086,4,1.58214,1.56818,True,2,6/4>4/4,4,4,1.24703,1.23238,True,0.174,True,
openstacks-opt08-strips/p12,label_order_relaxed(),6,59.1969,59.1832,True,54,49,0,6,6,1,0.091,4,2.07968,2.06503,True,2,6/4>4/4,4,4,0.984406,0.969492,True,0.185,True,
openstacks-opt08-strips/p13,label_order_linear(),7,37.5825,37.5201,True,57,52,0,6,6,1,0.112,4,5.42007,5.34926,True,2,6/4>4/4,4,4,1.64539,1.58229,True,0.222,True,
openstacks-opt08-strips/p13,label_order_relaxed(),6,120.856,120.786,True,57,52,0,6,6,1,0.105,4,1.82128,1.75899,True,2,6/4>4/4,4,4,1.56223,1.49732,True,0.212,True,
openstacks-opt08-strips/p14,label_order_linear(),7,34.177,34.1479,True,60,55,0,6,6,1,0.121,4,3.41825,3.38469,True,2,6/4>4/4,4,4,1.27695,1.24382,True,0.238,True,
openstacks-opt08-strips/p14,label_order_relaxed(),6,72.628,72.5966,True,60,55,0,6,6,1,0.129,4,3.97504,3.94158,True,2,6/4>4/4,4,4,1.10874,1.07615,True,0.255,True,
openstacks-opt08-strips/p15,label_order_linear(),7,48.4094,48.296,True,63,58,1,6,6,1,0.146,4,3.12598,3.02642,True,2,6/4>4/4,4,4,3.55014,3.4554,True,0.296,True,
openstacks-opt08-strips/p15,label_order_relaxed(),6,180.935,180.84,True,63,58,0,6,6,1,0.149,4,3.10698,3.01289,True,2,6/4>4/4,4,4,3.81736,3.7144,True,0.291,True,
openstacks-opt08-strips/p16,label_order_linear(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
openstacks-opt08-strips/p16,label_order_relaxed(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
parcprinter-08-strips/p04,label_order_linear(),5,0.0457458,0.0260685,True,29,25,0,5,2,1,0.049,2,0.0312095,0.0114995,True,1,2/2,2,2,0.0312095,0.0114995,True,0.049,True,
parcprinter-08-strips/p04,label_order_relaxed(),2,0.0310626,0.0106853,True,29,25,0,2,2,1,0.018,2,0.0307476,0.0105909,True,1,2/2,2,2,0.0307476,0.0105909,True,0.018,True,
parcprinter-08-strips/p07,label_order_linear(),5,0.116181,0.0410392,True,50,43,0,8,2,1,0.328,2,0.099867,0.0181889,True,1,2/2,2,2,0.099867,0.0181889,True,0.328,True,
parcprinter-08-strips/p07,label_order_relaxed(),2,0.102883,0.0186665,True,50,43,0,2,2,1,0.063,2,0.0961057,0.0164993,True,1,2/2,2,2,0.0961057,0.0164993,True,0.063,True,
parcprinter-08-strips/p10,label_order_linear(),6,0.25543,0.0854997,True,71,61,0,11,2,1,0.863,2,0.195444,0.0217121,True,1,2/2,2,2,0.195444,0.0217121,True,0.863,True,
parcprinter-08-strips/p10,label_order_relaxed(),2,0.213289,0.02324,True,71,61,0,2,2,1,0.171,2,0.209742,0.0226577,True,1,2/2,2,2,0.209742,0.0226577,True,0.171,True,
parcprinter-08-strips/p14,label_order_linear(),3,0.0628456,0.0287744,True,33,33,0,1,1,1,0.0,1,0.045617,0.0111783,True,1,1/1,1,1,0.045617,0.0111783,True,0.0,True,
parcprinter-08-strips/p14,label_order_relaxed(),2,0.0692249,0.0344843,True,33,33,0,1,1,1,0.0,1,0.0468585,0.0119231,True,1,1/1,1,1,0.0468585,0.0119231,True,0.0,True,
parcprinter-08-strips/p20,label_order_linear(),7,1.69468,1.25768,True,95,87,0,4,3,1,0.844,2,0.481941,0.0592674,True,2,3/2>2/2,2,2,0.483265,0.0629437,True,1.601,True,
parcprinter-08-strips/p20,label_order_relaxed(),4,1.21336,0.771039,True,113,93,0,13,4,1,4.542,3,0.640625,0.198385,True,2,4/3>3/3,3,3,0.59756,0.172879,True,6.771,True,
parcprinter-08-strips/p28,label_order_linear(),4,0.0938157,0.0233914,True,57,49,0,2,2,1,0.091,2,0.0847199,0.0140817,True,1,2/2,2,2,0.0847199,0.0140817,True,0.091,True,
parcprinter-08-strips/p28,label_order_relaxed(),3,0.103071,0.0271539,True,57,49,0,2,2,1,0.094,2,0.0971381,0.0159783,True,1,2/2,2,2,0.0971381,0.0159783,True,0.094,True,
